的	白勹丶
了	了
我	彐戈
是	日一止
在	才土
你	人𠂊小
和	禾口
有	𠂇月
不	不
就	京𠂇
都	耂阝
也	也
要	西女
吧	口巴
好	女子
他	人也
說	言公𠂊
去	土厶
到	至刀
沒	水勹又
還	辵四一口衤
上	卜一
對	业土寸
那	冄阝
人	人
個	人圍十口
看	手目
中	中
呢	口尸匕
來	木从
嗎	口馬
爲	爪象
會	亼四日
她	女也
與	臼牙廾
給	糸亼口
等	竹士寸
這	辵言
用	用
把	扌巴
下	一卜
恩	圍大心
能	厶月匕匕
很	行艮
多	夕夕
做	人十口攴
想	木目心
點	四土火卜口
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行从止
再	一冄
將	爿月寸
時	日士寸
但	人日一
過	辵冎口
打	扌丁
大	大
年	𠂊㐄
麼	广木木幺
啦	口扌立
以	厶人
買	四貝
讓	言衣口口甘
嗯	口圍大心
着	羊目
小	小
得	行日一寸
先	牛𠂊
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	𠂊又
跟	足艮
於	方人冫
太	大丶
嘛	口广木木
號	口丂虎
日	日
才	才
可	丁口
比	匕匕
玩	王一兀
們	人門
最	冃耳又
月	月
真	十目廾
吃	口气
發	癶弓殳
並	䒑业
它	宀匕
其	其
話	言舌
請	言丰月
錢	金戈戈
叫	口丩
開	門一廾
出	屮凵
誰	言隹
哈	口亼口
當	小冂口田
向	宀口
家	宀豕
問	門口
之	之
更	一日乂
該	言丶彑
走	走
快	心龴人
別	冎刀
前	䒑月刀
由	由
高	京口
您	人𠂊小心
裏	衣田土
加	力口
所	戶斤
天	一大
卻	八公卩
已	巳
里	田土
內	内
寫	宀臼烏
啥	口亼十口
老	耂匕
搞	扌京口
行	行
事	一中彐
拿	亼口手
帶	廿𠂊冂巾
如	女口
死	歹匕
賣	士四貝
暈	日冂車
像	人象
使	人一口乂
剛	网山刀
成	戌㇕
無	𠂊廿廿火
換	扌𠂊内大
只	口八
哪	口冄阝
愛	爪冂心夂
回	回
聽	耳千土十四一心
少	小丿
元	一兀
喫	口丰刀大
卡	卜一卜
靠	牛口非
幫	土土寸白巾
算	竹目廾
者	耂
忙	心亡
起	走巳
各	夂口
